camsid,radio_maxflux,fitsfile_max
688,7.5e+05,2020-08-13T02:53:14.5_16B.fits
692,8.3e+04,2020-08-13T02:54:28.0_16B.fits
696,6.9e+04,2020-08-13T02:56:04.7_16B.fits
698,4.2e+04,2020-08-13T02:57:51.4_15B.fits
702,3.8e+04,2020-08-13T03:01:37.9_16B.fits
704,4.7e+04,2020-08-13T03:02:54.4_15B.fits
705,2.5e+04,2020-08-13T03:03:27.6_16B.fits
706,5.4e+04,2020-08-13T03:03:45.7_16B.fits
707,1.1e+04,2020-08-13T03:03:49.7_16B.fits
714,2.3e+04,2020-08-13T03:06:37.8_16B.fits
715,2.0e+04,2020-08-13T03:07:20.1_16B.fits
716,4.9e+04,2020-08-13T03:08:06.4_14B.fits
718,9.8e+03,2020-08-13T03:09:56.1_16B.fits
719,8.8e+02,2020-08-13T03:09:23.9_16B.fits
723,1.8e+04,2020-08-13T03:12:01.0_16B.fits
724,8.5e+03,2020-08-13T03:12:01.0_16B.fits
726,1.0e+03,2020-08-13T03:14:06.8_16B.fits
728,1.3e+03,2020-08-13T03:14:37.0_15B.fits
729,1.3e+04,2020-08-13T03:15:55.5_16B.fits
731,1.4e+03,2020-08-13T03:20:16.2_16B.fits
732,1.4e+05,2020-08-13T03:21:47.8_13B.fits
735,1.1e+04,2020-08-13T03:25:22.2_14B.fits
736,2.9e+03,2020-08-13T03:27:12.0_16B.fits
737,1.6e+04,2020-08-13T03:30:53.4_16B.fits
