camsid,x0,x1,xbeg,xend,hbeg_radio,hend_radio,fitsfile_with_detection_beg,fitsfile_with_detection_end
527,164.809,327.304,322.927,426.153,102.008,75.350,2020-08-13T01:41:24.1_14B.fits,2020-08-13T01:41:24.1_14B.fits
528,179.306,308.797,235.831,320.508,103.626,85.050,2020-08-13T01:41:26.1_14B.fits,2020-08-13T01:41:26.1_14B.fits
529,211.070,278.954,232.605,264.863,94.846,89.727,2020-08-13T01:41:52.3_14B.fits,2020-08-13T01:41:54.3_14B.fits
535,223.416,269.433,248.734,260.024,98.291,93.794,2020-08-13T01:43:32.0_15B.fits,2020-08-13T01:43:32.0_15B.fits
536,236.185,259.176,257.605,260.831,97.390,95.981,2020-08-13T01:43:46.1_15B.fits,2020-08-13T01:43:46.1_15B.fits
537,233.421,261.353,242.282,270.508,103.000,92.636,2020-08-13T01:44:04.2_16B.fits,2020-08-13T01:44:06.2_16B.fits
545,222.108,270.147,230.992,273.734,105.618,87.341,2020-08-13T01:46:24.1_15B.fits,2020-08-13T01:46:24.1_15B.fits
546,234.562,260.559,263.250,273.734,99.568,96.241,2020-08-13T01:46:24.1_15B.fits,2020-08-13T01:46:24.1_15B.fits
548,223.895,269.918,239.863,273.734,100.920,91.317,2020-08-13T01:46:34.2_15B.fits,2020-08-13T01:46:34.2_15B.fits
549,220.501,271.608,232.605,285.024,102.719,81.945,2020-08-13T01:47:14.4_14B.fits,2020-08-13T01:47:14.4_14B.fits
554,197.652,292.030,260.024,294.702,101.175,92.226,2020-08-13T01:49:56.5_15B.fits,2020-08-13T01:49:56.5_15B.fits
556,230.648,263.448,248.734,272.121,100.835,86.247,2020-08-13T01:51:48.2_15B.fits,2020-08-13T01:51:48.2_15B.fits
561,234.852,260.248,245.508,254.379,102.049,98.001,2020-08-13T01:55:41.8_15B.fits,2020-08-13T01:55:41.8_15B.fits
565,210.327,279.624,271.315,302.766,100.452,86.487,2020-08-13T01:58:03.7_16B.fits,2020-08-13T01:58:03.7_16B.fits
573,234.000,260.848,239.056,260.831,105.505,91.199,2020-08-13T02:01:01.9_16B.fits,2020-08-13T02:01:01.9_16B.fits
579,220.387,271.848,250.347,272.927,93.821,90.799,2020-08-13T02:02:50.6_16B.fits,2020-08-13T02:02:50.6_16B.fits
589,220.438,271.380,233.411,254.379,88.188,79.088,2020-08-13T02:10:13.5_15B.fits,2020-08-13T02:10:13.5_15B.fits
591,229.627,264.551,256.798,262.444,100.885,99.163,2020-08-13T02:10:45.7_14B.fits,2020-08-13T02:10:45.7_14B.fits
596,222.142,270.955,260.024,276.153,100.163,94.724,2020-08-13T02:14:28.2_15B.fits,2020-08-13T02:14:28.2_15B.fits
598,200.427,289.844,258.411,288.250,96.614,89.373,2020-08-13T02:15:13.5_15B.fits,2020-08-13T02:15:13.5_15B.fits
600,216.436,275.310,239.863,270.508,103.015,91.620,2020-08-13T02:16:54.2_14B.fits,2020-08-13T02:16:54.2_14B.fits
601,220.835,271.496,239.863,286.637,102.940,80.376,2020-08-13T02:17:00.2_14B.fits,2020-08-13T02:17:00.2_14B.fits
612,176.873,311.101,262.444,305.185,101.061,90.430,2020-08-13T02:21:21.9_13B.fits,2020-08-13T02:21:21.9_13B.fits
614,213.544,278.530,276.153,278.573,89.498,88.711,2020-08-13T02:22:40.4_13B.fits,2020-08-13T02:22:40.4_13B.fits
616,221.689,277.787,280.992,285.024,92.707,90.599,2020-08-13T02:22:58.6_14B.fits,2020-08-13T02:22:58.6_14B.fits
617,204.576,284.202,251.153,275.347,101.913,91.021,2020-08-13T02:23:06.6_13B.fits,2020-08-13T02:23:06.6_13B.fits
622,218.917,273.615,250.347,264.863,101.358,97.044,2020-08-13T02:24:21.1_15B.fits,2020-08-13T02:24:21.1_15B.fits
635,214.517,280.219,264.863,272.927,94.889,92.307,2020-08-13T02:26:59.2_15B.fits,2020-08-13T02:26:59.2_15B.fits
638,203.546,286.920,284.218,317.282,99.935,90.716,2020-08-13T02:28:05.6_15B.fits,2020-08-13T02:28:05.6_15B.fits
639,207.802,282.980,247.927,275.347,101.450,93.410,2020-08-13T02:28:07.6_15B.fits,2020-08-13T02:28:07.6_15B.fits
641,223.199,271.594,260.831,264.056,91.616,91.007,2020-08-13T02:29:28.1_15B.fits,2020-08-13T02:29:28.1_15B.fits
643,230.659,263.585,241.476,268.089,104.887,89.649,2020-08-13T02:29:42.2_16B.fits,2020-08-13T02:29:42.2_16B.fits
644,225.639,267.971,274.540,280.185,102.155,99.882,2020-08-13T02:29:50.3_16B.fits,2020-08-13T02:29:58.3_16B.fits
645,226.364,266.963,242.282,268.089,102.369,90.543,2020-08-13T02:29:50.3_16B.fits,2020-08-13T02:29:50.3_16B.fits
647,211.625,279.711,273.734,305.185,99.816,90.742,2020-08-13T02:30:35.6_15B.fits,2020-08-13T02:30:35.6_15B.fits
659,202.385,291.282,271.315,276.960,98.644,97.837,2020-08-13T02:38:10.6_14B.fits,2020-08-13T02:38:10.6_14B.fits
661,227.551,266.072,247.121,271.315,102.141,89.599,2020-08-13T02:39:12.0_16B.fits,2020-08-13T02:39:12.0_16B.fits
671,220.397,271.703,239.056,266.476,100.479,86.084,2020-08-13T02:44:38.1_15B.fits,2020-08-13T02:44:38.1_15B.fits
675,231.947,262.893,251.960,256.798,92.095,89.484,2020-08-13T02:46:31.9_16B.fits,2020-08-13T02:46:31.9_16B.fits
677,233.040,261.669,250.347,269.702,103.578,90.636,2020-08-13T02:48:23.6_16B.fits,2020-08-13T02:48:23.6_16B.fits
678,225.910,269.134,255.992,259.218,100.085,98.945,2020-08-13T02:48:51.8_16B.fits,2020-08-13T02:48:51.8_16B.fits
679,237.709,257.984,242.282,262.444,103.128,91.311,2020-08-13T02:49:01.9_15B.fits,2020-08-13T02:49:01.9_15B.fits
682,233.360,262.296,255.185,257.605,98.201,96.694,2020-08-13T02:50:00.3_16B.fits,2020-08-13T02:50:00.3_16B.fits
683,217.660,278.285,285.024,310.831,96.268,86.465,2020-08-13T02:50:16.4_16B.fits,2020-08-13T02:50:16.4_16B.fits
688,230.959,267.223,268.895,275.347,89.425,84.798,2020-08-13T02:53:10.5_15B.fits,2020-08-13T02:53:10.5_15B.fits
692,232.245,262.436,254.379,258.411,98.447,96.764,2020-08-13T02:54:24.0_16B.fits,2020-08-13T02:54:24.0_16B.fits
696,202.014,287.804,286.637,302.766,97.052,91.987,2020-08-13T02:56:04.7_16B.fits,2020-08-13T02:56:04.7_16B.fits
698,182.178,310.537,311.637,383.411,101.764,74.127,2020-08-13T02:57:41.3_16B.fits,2020-08-13T02:57:41.3_16B.fits
702,200.567,291.151,276.960,295.508,96.806,91.952,2020-08-13T03:01:37.9_16B.fits,2020-08-13T03:01:37.9_16B.fits
704,188.402,300.632,251.153,357.605,94.868,84.544,2020-08-13T03:02:44.3_16B.fits,2020-08-13T03:02:44.3_16B.fits
705,222.479,270.240,242.282,269.702,101.806,89.829,2020-08-13T03:03:23.5_16B.fits,2020-08-13T03:03:23.5_16B.fits
706,221.102,271.253,243.895,269.702,101.140,88.995,2020-08-13T03:03:25.6_16B.fits,2020-08-13T03:03:25.6_16B.fits
707,230.983,263.354,248.734,266.476,103.183,92.800,2020-08-13T03:03:49.7_16B.fits,2020-08-13T03:03:49.7_16B.fits
